district_code,area,pop_value
90000,414870000,1982097
90100,2870000,16620
90200,19240000,108269
90300,7400000,96756
90400,1780000,33633
90500,2009999,55018
90600,1460000,31423
90700,1610000,31581
90800,1090000,24674
90900,2970000,42206
91000,31830000,218415
91100,23260000,109038
91200,8100000,100281
91300,37710000,55568
91400,33760000,96828
91500,3920000,76109
91600,8670000,102444
91700,11390000,56033
91800,6350000,51559
91900,24940000,75517
92000,5710000,85690
92100,44440000,183895
92200,102300000,212658
92300,32060000,117882
